sp,seed source location,dead,notes,trt,rep,series,subgenus,genetic.lineage,n.kg.ha.yr,p.kg.ha.yr,ht.23.cm,ht.53.cm,ht.82.cm,ht.144.cm,ht.197.cm,bd.246.mm,ht.246.in,ht.246.cm,leaf 1 cm2,leaf 2 cm2,leaf 1 mg,leaf 2 mg,sla 1 cm2 g,sla 2 cm2 g,leaf size cm2,sla cm2 g,harvest day dec 2015,days old,ht cm,stem diam mm,lig diam mm,rel lig size,Percent rust scaleinsects discoloration mildew,winrhizo id,srl cm,srl g,srl cm g,extra root g,total root g,ssd vol cm3,ssd mass g,ssd mg mm3,extra agb g,total agb g,rs,total biomass g,RGR
E. coccifera,,n,,1,5,Piperitae,E,Peppermint,0,0,1.27,1.5875,1.27,1.5,7,0.8,5,12.7,,,,,,,,,13,352,14.25,0.79,0.79,0,40,coc15,383.7692,0.0397,9666.730479,0,0.0397,0.094,0.0456,0.485106383,0.06708,0.11268,0.352325169,0.15238,0.000432898
E. coccifera,,n,,2,1,Piperitae,E,Peppermint,0,12,1.27,1.27,1.27,2,5,0.6,3.5,8.89,,,,,,,,,8,347,8.25,1.01,1.01,0,50,coc21,519.3335,0.04217,12315.23595,0,0.04217,,,,0.11212,0.11212,0.376114877,0.15429,0.00044464
E. coccifera,,n,,2,2,Piperitae,E,Peppermint,0,12,1.27,2.54,2.54,2,3,0.5,2,5.08,,,,,,,,,9,348,4.25,0.41,0.41,0,75,coc22,255.6626,0.0095,26911.85263,0,0.0095,,,,0.0316,0.0316,0.300632911,0.0411,0.000118103
E. coccifera,,n,,2,3,Piperitae,E,Peppermint,0,12,1.27,2.54,1.905,1.5,7,1.1,4,10.16,,,,,,,,,4,343,10,1.22,1.22,0,90,coc23,984.3142,0.06412,15351.12601,0,0.06412,,,,0.20534,0.20534,0.312262589,0.26946,0.000785598
E. coccifera,,y,,2,4,Piperitae,E,Peppermint,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. coccifera,,y,,2,5,Piperitae,E,Peppermint,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. coccifera,,y,,3,1,Piperitae,E,Peppermint,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. coccifera,,n,,3,2,Piperitae,E,Peppermint,12,0,2.2225,3.4925,4.445,4.5,18,1.4,9,22.86,4.3257,,34.68,,124.7318339,,4.3257,124.7318339,4,343,21.75,1.66,1.66,0,100,coc32,1723.031,0.12502,13782.04287,0,0.12502,0.374,0.1693,0.452673797,0.17784,0.38182,0.327431774,0.50684,0.001477668
E. coccifera,,n,,3,3,Piperitae,E,Peppermint,12,0,1.5875,2.54,3.175,4,7,1.1,5,12.7,0.9285,1.1363,5.9,7.63,157.3728814,148.9252949,1.0324,153.1490881,4,343,14.5,1.52,1.52,0,90,coc33,1094.7183,0.0946,11572.07505,0,0.0946,0.16,0.0802,0.50125,0.25361,0.34734,0.272355617,0.44194,0.001288455
E. coccifera,,n,,3,4,Piperitae,E,Peppermint,12,0,7.3025,2.2225,1.905,2,15,2.6,7,17.78,5.7468,,67.59,,85.0244119,,5.7468,85.0244119,6,345,17.5,2.03,3.48,0.714285714,90,coc34,2030.0749,0.32001,6343.785819,0,0.32001,0.343,0.1591,0.463848397,0.69654,0.92323,0.346620019,1.24324,0.003603594
