sp,seed source location,dead,notes,trt,rep,series,subgenus,genetic.lineage,n.kg.ha.yr,p.kg.ha.yr,ht.23.cm,ht.53.cm,ht.82.cm,ht.144.cm,ht.197.cm,bd.246.mm,ht.246.in,ht.246.cm,leaf 1 cm2,leaf 2 cm2,leaf 1 mg,leaf 2 mg,sla 1 cm2 g,sla 2 cm2 g,leaf size cm2,sla cm2 g,harvest day dec 2015,days old,ht cm,stem diam mm,lig diam mm,rel lig size,Percent rust scaleinsects discoloration mildew,winrhizo id,srl cm,srl g,srl cm g,extra root g,total root g,ssd vol cm3,ssd mass g,ssd mg mm3,extra agb g,total agb g,rs,total biomass g,RGR
E. dalrympleana,,n,,2,2,Viminales,S,WBgum,0,12,2.54,6.6675,10.795,13.5,55,7.6,24,60.96,10.3805,14.4418,121.22,156.08,85.63355882,92.52819067,12.41115,89.08087475,8,347,61,6.61,11.53,0.744326778,70,dal22,2055.0307,0.45455,4521.02233,5.0728,5.52735,3.758,1.8342,0.488078765,16.3872,18.4987,0.298796672,24.02605,0.069239337
E. dalrympleana,,n,,2,3,Viminales,S,WBgum,0,12,3.81,6.6675,12.7,19,43,7,25,63.5,14.64,16.6718,88.17,129.25,166.0428717,128.9887814,15.6559,147.5158266,10,349,64.75,6.48,8.37,0.291666667,50,dal23,1836.4293,0.4222,4349.666746,3.5838,4.006,3.105,1.453,0.467954911,8.05999,9.73041,0.411698993,13.73641,0.039359341
E. dalrympleana,,n,,2,4,Viminales,S,WBgum,0,12,4.1275,9.525,13.335,15,25,2.4,10,25.4,10.33,10.2107,111.55,104.5,92.60421336,97.71004785,10.27035,95.1571306,9,348,26,2.66,2.66,0,50,dal24,1798.7966,0.22053,8156.697955,0.70078,0.92131,0.561,0.2742,0.488770053,1.04967,1.53992,0.598284326,2.46123,0.0070725
E. dalrympleana,,n,,2,5,Viminales,S,WBgum,0,12,5.3975,12.065,15.875,20,41,4,17,43.18,16.3759,21.181,154.9,242.69,105.7191737,87.27594874,18.77845,96.4975612,4,343,44.25,4.49,6.3,0.40311804,90,dal25,1006.9239,0.23697,4249.161919,1.79816,2.03513,1.834,0.8753,0.477262814,6.14956,7.42245,0.274185747,9.45758,0.02757312
E. dalrympleana,,n,,3,1,Viminales,S,WBgum,12,0,4.1275,9.7155,19.685,32,57,6.21,27,68.58,21.4259,15.4331,235.51,177.83,90.97660397,86.7856942,18.4295,88.88114908,8,347,68,6.44,9.62,0.49378882,95,dal31,1884.0777,0.50749,3712.541528,5.4783,5.98579,4.533,2.0842,0.459783808,15.37595,17.87349,0.334897661,23.85928,0.068758732
E. dalrympleana,,n,,3,2,Viminales,S,WBgum,12,0,4.7625,9.525,19.05,32,59,5.3,24,60.96,14.9683,11.6258,176.28,122.32,84.9120717,95.0441465,13.29705,89.9781091,8,347,60.5,6.34,11.57,0.824921136,80,dal32,2370.6087,0.64527,3673.824446,3.9713,4.61657,3.176,1.5031,0.473268262,11.7179,13.5196,0.341472381,18.13617,0.05226562
E. dalrympleana,,n,,3,3,Viminales,S,WBgum,12,0,2.54,6.985,13.97,26.5,52,3.9,27,68.58,11.6576,12.2061,82.14,107.93,141.9235452,113.0927453,11.93185,127.5081452,12,351,71.5,4.37,7.37,0.686498856,80,dal33,1291.1534,0.24109,5355.483015,,,2.13,0.9605,0.450938967,5.67884,6.82941,,,
E. dalrympleana,,n,,3,4,Viminales,S,WBgum,12,0,4.445,8.255,16.51,24,35,4.1,22,55.88,10.8352,12.369,97.35,73.61,111.3014895,168.0342345,11.6021,139.667862,13,352,56.5,4.72,14.93,2.163135593,60,dal34,2357.7896,0.28612,8240.562002,3.02,3.30612,1.627,0.7162,0.440196681,5.66361,6.55077,0.504691815,9.85689,0.028002528
E. dalrympleana,,n,,3,5,Viminales,S,WBgum,12,0,3.4925,6.985,13.97,20,52,5.66,22,55.88,16.9594,15.3003,211.43,162.53,80.2128364,94.13831293,16.12985,87.17557466,8,347,55.5,6.3,9.87,0.566666667,100,dal35,2237.9685,0.38404,5827.435944,3.9038,4.28784,3.019,1.4506,0.480490229,11.6057,13.43026,0.319267088,17.7181,0.051060807
E. dalrympleana,,n,,4,1,Viminales,S,WBgum,12,12,2.8575,7.3025,12.7,25.5,44,4,18,45.72,12.5485,7.4523,72.1,55.81,174.0429958,133.5298334,10.0004,153.7864146,11,350,51.25,5.68,10.2,0.795774648,40,dal41,1331.0034,0.1278,10414.73709,3.23042,3.35822,2.226,1.0128,0.454986523,6.49835,7.63906,0.43961168,10.99728,0.0314208
E. dalrympleana,,n,,4,2,Viminales,S,WBgum,12,12,4.1275,8.89,14.605,28,42,6.18,18,45.72,11.5538,11.6186,123.42,132.13,93.61367688,87.93309619,11.5862,90.77338653,8,347,45,6.64,15.05,1.266566265,95,dal42,1428.9149,0.487175,2933.062862,0.24444,0.731615,3.952,1.8728,0.47388664,14.87512,17.00347,0.043027394,17.735085,0.051109755
E. dalrympleana,,n,,4,3,Viminales,S,WBgum,12,12,2.54,8.255,12.7,21,58,5.6,28,71.12,19.8443,12.7968,192.36,118.44,103.1622999,108.0445795,16.32055,105.6034397,5,344,71.75,6.34,19.23,2.033123028,10,dal43,1946.1249,0.47789,4072.328151,5.5196,5.99749,4.393,2.0791,0.473275666,15.61719,18.00709,0.333062699,24.00458,0.069780756
E. dalrympleana,,n,,4,4,Viminales,S,WBgum,12,12,4.445,8.89,19.05,31.5,63,5.5,30,76.2,15.4913,15.1987,182.59,201.28,84.84199573,75.5102345,15.345,80.17611511,5,344,78.75,6.24,15.14,1.426282051,50,dal44,2029.1196,0.49354,4111.357945,7.8528,8.34634,3.062,1.4306,0.467210973,10.98777,12.80224,0.651943722,21.14858,0.06147843
E. dalrympleana,,n,,4,5,Viminales,S,WBgum,12,12,3.81,10.16,18.415,27,45,5,23,58.42,8.9534,12.6701,64.48,76.7,138.8554591,165.190352,10.81175,152.0229055,12,351,57.5,6.38,6.38,0,90,dal45,1526.6479,0.16044,9515.382074,2.70133,2.86177,3.595,1.6027,0.44581363,10.79603,12.53991,0.228212962,15.40168,0.04387943
E. dalrympleana,,n,,5,1,Viminales,S,WBgum,24,0,4.445,8.255,14.605,31,43,3.8,17,43.18,6.8743,9.9567,77.89,106.19,88.2565156,93.7630662,8.4155,91.0097909,11,350,44.5,4.54,6.11,0.345814978,100,dal51,2191.7985,0.34329,6384.68496,1.9467,2.28999,1.5,0.6932,0.462133333,4.7395,5.61678,0.407705126,7.90677,0.022590771
E. dalrympleana,,n,,5,2,Viminales,S,WBgum,24,0,4.1275,10.4775,21.59,36,52,5.8,20,50.8,10.3243,11.2404,84.34,104.79,122.4128527,107.2659605,10.78235,114.8394066,13,352,52.5,8.04,13.91,0.730099502,80,dal52,1627.1913,0.21556,7548.669976,3.89241,4.10797,1.975,0.9635,0.487848101,8.33142,9.48405,0.433145123,13.59202,0.038613693
E. dalrympleana,,n,,5,3,Viminales,S,WBgum,24,0,3.81,8.255,16.51,24,38,5.41,15.5,39.37,9.899,13.3734,108.16,161.82,91.52181953,82.64367816,11.6362,87.08274884,6,345,42.25,5.57,12.29,1.206463196,80,dal53,2219.283,0.54403,4079.339375,5.84565,6.38968,2.398,1.1538,0.481150959,9.28668,10.71046,0.596583153,17.10014,0.049565623
E. dalrympleana,,n,REG,5,4,Viminales,S,WBgum,24,0,2.2225,4.1275,3.81,7,32,4.6,17,43.18,,,,,,,,,7,346,37.75,5.21,5.21,0,10,dal54,2257.7033,0.48587,4646.722992,2.53825,3.02412,3.094,1.3143,0.424789916,5.377,6.6913,0.451948052,9.71542,0.028079249
E. dalrympleana,,n,,5,5,Viminales,S,WBgum,24,0,4.445,6.6675,12.7,31,43,5.6,22,55.88,18.2273,14.9964,131.74,138.99,138.3581296,107.8955321,16.61185,123.1268309,13,352,58.75,7.4,12.74,0.721621622,50,dal55,2266.8897,0.40043,5661.138526,6.9704,7.37083,2.453,1.0921,0.445209947,10.84271,12.20554,0.603892167,19.57637,0.055614688
E. dalrympleana,,n,,6,1,Viminales,S,WBgum,24,12,4.7625,9.525,19.05,27,47,4.1,23.5,59.69,21.1701,10.4309,141.18,98.89,149.9511262,105.4798261,15.8005,127.7154761,13,352,62.25,6.35,9.53,0.500787402,50,dal61,1538.2077,0.2146,7167.789842,2.09612,2.31072,3.52,1.6563,0.470539773,5.44112,7.33749,0.31491968,9.64821,0.027409688
E. dalrympleana,,n,,6,2,Viminales,S,WBgum,24,12,4.1275,9.525,17.78,,60,6,25,63.5,13.7241,15.7347,154.39,145.95,88.89241531,107.8088386,14.7294,98.35062698,5,344,63.5,6.46,14.94,1.312693498,50,dal62,1249.8203,0.39522,3162.340722,5.9848,6.38002,3.946,1.9841,0.502812975,15.53067,17.81511,0.358124087,24.19513,0.07033468
E. dalrympleana,,n,,6,3,Viminales,S,WBgum,24,12,4.445,11.43,17.78,25,42,4.7,17,43.18,13.4615,12.9167,137.77,96.81,97.70995137,133.4232001,13.1891,115.5665757,5,344,43.75,5.45,13.72,1.517431193,90,dal63,1896.4154,0.3823,4960.542506,1.3583,1.7406,2.081,0.9908,0.476117251,6.99484,8.22022,0.211746158,9.96082,0.028955872
E. dalrympleana,,n,,6,4,Viminales,S,WBgum,24,12,3.175,8.4455,17.78,29,60,5.7,26,66.04,24.58,10.1396,205.61,79.07,119.5467147,128.2357405,17.3598,123.8912276,12,351,68.75,7.55,19.9,1.635761589,30,dal64,1200.8913,0.39436,3045.165078,6.5265,6.92086,3.889,1.8209,0.468218051,13.40036,15.50594,0.446336049,22.4268,0.063894017
E. dalrympleana,,n,,6,5,Viminales,S,WBgum,24,12,3.175,6.6675,12.065,25,47,4.2,18,45.72,11.0274,10.9287,108.47,113.56,101.6631327,96.23723142,10.97805,98.95018204,5,344,66,5.15,7.85,0.524271845,60,dal65,2486.6512,0.35528,6999.130826,4.72978,5.08506,2.27,1.0834,0.477268722,5.79823,7.10366,0.715836625,12.18872,0.035432326
E. dalrympleana,,n,,7,1,Viminales,S,WBgum,50,0,3.4925,7.9375,15.24,27,59,5.6,26,66.04,15.8884,23.8873,139.57,195.45,113.8382174,122.2169353,19.88785,118.0275763,8,347,71.25,7.91,11.77,0.487989886,90,dal71,2020.5046,0.51598,3915.858367,6.37411,6.89009,4.009,1.844,0.459965079,13.8203,15.99932,0.430648928,22.88941,0.065963718
E. dalrympleana,,n,,7,2,Viminales,S,WBgum,50,0,5.08,7.62,25.4,38,46,5.5,18,45.72,7.1914,13.4973,86.79,153.03,82.85977647,88.20035287,10.34435,85.53006467,5,344,46.75,6.38,14.92,1.338557994,100,dal72,2672.1112,0.42677,6261.24423,2.14366,2.57043,2.598,1.1437,0.440223249,11.01553,12.39905,0.207308624,14.96948,0.04351593
E. dalrympleana,,n,,7,3,Viminales,S,WBgum,50,0,3.4925,8.89,15.875,26,54,5.3,26,66.04,14.4659,20.3346,107.14,196.66,135.0186672,103.3997763,17.40025,119.2092217,11,350,65,6.22,12.82,1.061093248,90,dal73,1876.3619,0.3228,5812.769207,5.0278,5.3506,3.138,1.4558,0.463926068,12.3986,14.1582,0.377915272,19.5088,0.055739429
E. dalrympleana,,n,,7,4,Viminales,S,WBgum,50,0,3.81,6.985,10.795,10,19,2.58,11.5,29.21,6.8668,7.4876,45.89,44.92,149.6360863,166.6874443,7.1772,158.1617653,8,347,21.5,2.8,2.8,0,100,dal74,2034.7018,0.60133,3383.6692,0,0.60133,0.832,0.3598,0.432451923,1.41661,1.86722,0.322045608,2.46855,0.007113977
E. dalrympleana,,n,,7,5,Viminales,S,WBgum,50,0,4.445,7.9375,14.605,25,48,5.4,24,60.96,6.8826,6.6942,49.86,44.91,138.0385078,149.0581162,6.7884,143.548312,12,351,61.25,3.96,7.97,1.012626263,90,dal75,2237.1557,0.21273,10516.40906,0.87633,1.08906,2.517,1.053,0.418355185,3.9575,5.10527,0.213320745,6.19433,0.017647664
E. dalrympleana,,n,,8,1,Viminales,S,WBgum,50,12,2.54,7.62,16.51,32,51,5,20,50.8,6.931,9.9604,41.38,53.85,167.4963751,184.9656453,8.4457,176.2310102,8,347,67,6.48,10.86,0.675925926,10,dal81,2232.2573,0.26204,8518.765456,4.39603,4.65807,2.384,1.0507,0.440729866,8.439,9.58493,0.48597851,14.243,0.04104611
E. dalrympleana,,n,,8,2,Viminales,S,WBgum,50,12,4.445,8.255,17.78,31,68,6.5,30,76.2,18.0997,29.185,168.88,289.2,107.1749171,100.9163209,23.64235,104.045619,5,344,74,8.03,16,0.99252802,90,dal82,2214.7883,0.45588,4858.270378,8.747,9.20288,5.245,2.4345,0.464156339,15.72635,18.61893,0.49427545,27.82181,0.080877355
E. dalrympleana,,n,,8,3,Viminales,S,WBgum,50,12,3.4925,8.255,15.24,28,27,6.4,27,68.58,14.605,16.3418,108.97,130.34,134.027714,125.3782415,15.4734,129.7029778,11,350,74.75,7.35,10.14,0.379591837,20,dal83,1813.8452,0.33528,5409.941541,7.32444,7.65972,4.174,2.0182,0.48351701,13.62931,15.88682,0.482143059,23.54654,0.067275829
E. dalrympleana,,n,,8,4,Viminales,S,WBgum,50,12,4.445,9.7155,19.05,25,36,4.3,19,48.26,8.1104,8.6661,39.07,52.33,207.5863834,165.6048156,8.38825,186.5955995,12,351,61.5,4.91,7.09,0.443991853,90,dal84,2277.2553,0.24641,9241.732478,1.10927,1.35568,2.196,0.8908,0.40564663,5.1559,6.1381,0.220863134,7.49378,0.021349801
E. dalrympleana,,n,,8,5,Viminales,S,WBgum,50,12,3.4925,8.5725,17.78,27,46,4.4,24,60.96,14.6317,8.4826,112.95,86.54,129.54139,98.01941299,11.55715,113.7804015,8,347,64,8.56,13.19,0.54088785,70,dal85,1877.7535,0.29784,6304.571246,8.90106,9.1989,2.849,1.405,0.493155493,12.099,13.70349,0.671281549,22.90239,0.066001124
E. dalrympleana,,n,,9,1,Viminales,S,WBgum,100,0,3.4925,6.985,21.59,35,60,5.7,27,68.58,15.2387,16.0656,182.54,191.82,83.48142873,83.75351892,15.65215,83.61747383,6,345,61,7.21,10.5,0.45631068,100,dal91,2083.7953,0.39088,5331.035868,3.12657,3.51745,3.944,1.7261,0.43765213,7.78593,9.88639,0.355787097,13.40384,0.03885171
E. dalrympleana,,n,,9,2,Viminales,S,WBgum,100,0,4.445,11.43,15.24,20.5,37,4.15,14.5,36.83,9.7018,5.6462,147.59,66.28,65.73480588,85.18708509,7.674,75.46094549,6,345,44,4.45,6.81,0.530337079,50,dal92,1093.9492,0.2197,4979.286299,1.18911,1.40881,1.434,0.608,0.423988842,5.73813,6.56,0.214757622,7.96881,0.023098
E. dalrympleana,,n,,9,3,Viminales,S,WBgum,100,0,3.81,7.62,13.97,30,59,8.3,26,66.04,19.598,11.7829,125.6,75.81,156.0350318,155.4267247,15.69045,155.7308783,13,352,74.5,7.11,12.62,0.774964838,50,dal93,1565.6174,0.22524,6950.885278,5.38219,5.60743,4.146,1.9769,0.476821032,10.57636,12.75467,0.439637403,18.3621,0.052165057
E. dalrympleana,,n,,9,4,Viminales,S,WBgum,100,0,5.3975,11.43,26.035,37,53,7.3,25,63.5,7.1639,10.4579,42.94,96.01,166.8351188,108.925112,8.8109,137.8801154,9,348,67.5,10.25,12.73,0.24195122,60,dal94,1851.5615,0.39028,4744.187506,9.53337,9.92365,6.621,2.7481,0.415058148,18.39456,21.28161,0.466301657,31.20526,0.089670287
E. dalrympleana,,n,,9,5,Viminales,S,WBgum,100,0,3.81,6.985,13.97,27.5,53,5.7,21,53.34,14.2193,10.7228,107.39,75.34,132.4080454,142.3254579,12.47105,137.3667517,3,342,54.5,6.91,11,0.591895803,95,dal95,1944.7088,0.61965,3138.398774,12.9491,13.56875,3.229,1.4575,0.451378136,10.15346,11.79369,1.150509298,25.36244,0.074159181
E. dalrympleana,,n,,10,1,Viminales,S,WBgum,100,12,2.54,6.0325,10.795,15,32,3,17,43.18,11.6413,12.6755,102.04,83.39,114.0856527,152.0026382,12.1584,133.0441454,13,352,44.5,4.52,6.76,0.495575221,100,dal101,1160.4767,0.1562,7429.428297,1.50585,1.66205,1.55,0.7424,0.478967742,3.29277,4.2206,0.393794721,5.88265,0.016712074
E. dalrympleana,,n,,10,2,Viminales,S,WBgum,100,12,5.08,8.255,11.43,12,10,0.9,5,12.7,4.6259,,30.4,,152.1677632,,4.6259,152.1677632,10,349,25,2.05,2.05,0,50,dal102,708.742,0.12133,5841.440699,0,0.12133,0.369,0.1506,0.408130081,0.71601,0.89701,0.135260476,1.01834,0.00291788
E. dalrympleana,,n,,10,3,Viminales,S,WBgum,100,12,3.81,8.89,20.955,32,52,4.4,20,50.8,12.1152,8.5279,56.4,47.13,214.8085106,180.9441969,10.32155,197.8763538,13,352,63.25,5.84,14.58,1.496575342,30,dal103,2160.2974,0.29707,7272.014677,2.5446,2.84167,2.716,1.2011,0.442231222,9.94894,11.25357,0.252512758,14.09524,0.040043295
E. dalrympleana,,y,REG,10,4,Viminales,S,WBgum,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. dalrympleana,,n,,10,5,Viminales,S,WBgum,100,12,3.81,9.525,9.525,41,76,6.5,36,91.44,32.9754,21.0391,303.99,179.25,108.4752788,117.3729428,27.00725,112.9241108,10,349,92.75,8.83,14.77,0.672706682,90,dal105,1831.1072,0.36445,5024.302922,10.082,10.44645,5.094,2.2999,0.451491951,20.02602,22.80916,0.457993631,33.25561,0.095288281
E. delegatensis,,n,,1,1,Obliquae,E,Ash,0,0,2.8575,4.1275,5.715,8,22,2.5,9,22.86,8.7036,14.5405,91.4,165.88,95.22538293,87.65673981,11.62205,91.44106137,13,352,22.75,3.09,3.09,0,100,del11,2386.4103,0.20893,11422.05667,0.45476,0.66369,0.834,0.3566,0.427577938,1.56897,2.18285,0.304047461,2.84654,0.008086761
E. delegatensis,,n,,1,2,Obliquae,E,Ash,0,0,2.2225,3.81,5.08,7,19,2.76,8,20.32,8.3458,4.6773,81.92,61.49,101.8774414,76.066027,6.51155,88.9717342,11,350,21,2.89,2.89,0,100,del12,1151.8223,0.14978,7690.094138,0,0.14978,0.778,0.3209,0.412467866,0.66279,1.1271,0.132889717,1.27688,0.003648229
E. delegatensis,,n,,1,3,Obliquae,E,Ash,0,0,2.54,3.81,3.175,3,4,0.5,2,5.08,,,,,,,,,11,350,6.25,0.8,0.8,0,40,del13,252.4708,0.01574,16040.07624,0,0.01574,,,,0.05956,0.05956,0.264271323,0.0753,0.000215143
E. delegatensis,,n,,1,4,Obliquae,E,Ash,0,0,2.8575,3.4925,3.175,2.5,4,0.8,2,5.08,,,,,,,,,4,343,4,1.08,1.08,0,100,del14,1034.7463,0.04686,22081.65386,0,0.04686,,,,0.12642,0.12642,0.370669198,0.17328,0.00050519
E. delegatensis,,n,,1,5,Obliquae,E,Ash,0,0,4.7625,5.3975,4.445,3,7,1.3,3,7.62,,,,,,,,,4,343,8,1.26,1.26,0,100,del15,1052.1952,0.09204,11431.93394,0,0.09204,,,,0.19396,0.19396,0.474530831,0.286,0.000833819
E. delegatensis,,n,,2,1,Obliquae,E,Ash,0,12,3.81,4.7625,5.08,6,20,2.8,8,20.32,22.5585,,269.41,,83.73297205,,22.5585,83.73297205,10,349,21.25,3.02,3.8,0.258278146,100,del21,888.1375,0.11143,7970.362559,0.53871,0.65014,0.808,0.3387,0.419183168,1.01678,1.62489,0.400113238,2.27503,0.006518711
E. delegatensis,,n,,2,2,Obliquae,E,Ash,0,12,3.175,4.1275,3.81,4,5,0.8,2.5,6.35,,,,,,,,,9,348,5.25,1.13,1.13,0,100,del22,808.4305,0.06002,13469.35188,0,0.06002,,,,0.10023,0.10023,0.598822708,0.16025,0.000460489
E. delegatensis,,n,,2,3,Obliquae,E,Ash,0,12,3.4925,3.81,3.81,3,9,1.3,5,12.7,,,,,,,,,4,343,10.75,1.41,1.41,0,90,del23,1259.3825,0.14758,8533.55807,0,0.14758,0.187,0.0795,0.42513369,0.19121,0.27071,0.545159026,0.41829,0.001219504
E. delegatensis,,y,,2,4,Obliquae,E,Ash,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. delegatensis,,y,,2,5,Obliquae,E,Ash,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. delegatensis,,n,extra agb mission,3,1,Obliquae,E,Ash,12,0,2.54,4.7625,3.81,4,10,1.48,6,15.24,,,,,,,,,8,347,14,1.6,1.6,0,70,del31,659.0442,0.1065,6188.208451,0,0.1065,0.289,0.1198,0.414532872,,,,,
E. delegatensis,,n,,3,2,Obliquae,E,Ash,12,0,2.8575,3.81,4.445,8,20,3.2,10,25.4,15.7439,,142.31,,110.6310168,,15.7439,110.6310168,9,348,23,3.24,3.24,0,50,del32,1844.9237,0.2754,6699.069354,0,0.2754,0.925,0.3672,0.396972973,1.03897,1.54848,0.177851829,1.82388,0.005241034
E. delegatensis,,n,,3,3,Obliquae,E,Ash,12,0,2.8575,4.1275,3.81,6,30,,,0,18.9422,17.2126,190.21,179.81,99.58572105,95.7266003,18.0774,97.65616067,8,347,40.5,5.72,5.72,0,60,del33,1944.6534,0.26137,7440.231855,1.86994,2.13131,2.254,0.9812,0.435314996,0.14964,1.50086,1.420059166,3.63217,0.010467349
E. delegatensis,,n,,3,4,Obliquae,E,Ash,12,0,2.8575,4.445,6.985,9,33,3,16,40.64,15.0259,12.9843,88.74,91.22,169.3249944,142.3404955,14.0051,155.8327449,12,351,38.75,3.78,3.78,0,90,del34,1143.9352,0.09619,11892.45452,0.62463,0.72082,1.701,0.6972,0.409876543,1.58566,2.46282,0.292680748,3.18364,0.009070199
E. delegatensis,,n,,3,5,Obliquae,E,Ash,12,0,1.905,2.2225,,1.5,3,0.4,1.5,3.81,,,,,,,,,5,344,3.5,0.43,0.43,0,100,del35,73.984,0.00462,16013.85281,0,0.00462,,,,0.02939,0.02939,0.157196325,0.03401,9.89E-05
E. delegatensis,,y,,4,1,Obliquae,E,Ash,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. delegatensis,,n,,4,2,Obliquae,E,Ash,12,12,2.2225,4.1275,5.08,5,26,2.2,11,27.94,9.1647,,87.53,,104.7035302,,9.1647,104.7035302,10,349,16.75,2.67,3.97,0.486891386,100,del42,909.8938,0.25978,3502.555239,,,0.725,0.2965,0.408965517,1.36475,1.74878,,,
E. delegatensis,,n,,4,3,Obliquae,E,Ash,12,12,2.2225,2.54,2.54,4.5,12,2.4,7,17.78,7.5813,,45.9,,165.1699346,,7.5813,165.1699346,7,346,16.75,2.28,2.28,0,100,del43,1791.8367,0.1881,9525.979266,0,0.1881,0.411,0.1593,0.387591241,0.34913,0.55433,0.339328559,0.74243,0.002145751
E. delegatensis,,n,,4,4,Obliquae,E,Ash,12,12,2.8575,3.81,3.81,5,23,4.6,14,35.56,26.882,13.4732,278.36,131.45,96.57278345,102.4967668,20.1776,99.53477514,10,349,37,4.64,4.64,0,90,del44,3135.4934,0.36336,8629.165015,1.221,1.58436,2.072,0.8864,0.427799228,3.05591,4.35212,0.364043271,5.93648,0.017009971
E. delegatensis,,n,,4,5,Obliquae,E,Ash,12,12,2.8575,3.175,3.81,5,18,3,9,22.86,9.4294,12.7607,85.33,118.34,110.5050979,107.8308264,11.09505,109.1679621,13,352,22.5,3.9,5.57,0.428205128,100,del45,2270.2929,0.22368,10149.73578,0.72913,0.95281,1.108,0.5034,0.45433213,1.48881,2.19588,0.433908046,3.14869,0.008945142
E. delegatensis,,n,,5,1,Obliquae,E,Ash,24,0,2.8575,3.175,3.175,5,11,2,6,15.24,11.0813,,108.59,,102.0471498,,11.0813,102.0471498,13,352,16.75,2.36,3.75,0.588983051,100,del51,1239.7124,0.08181,15153.5558,0.238,0.31981,0.533,0.2137,0.400938086,0.6835,1.00579,0.31796896,1.3256,0.003765909
E. delegatensis,,n,,5,2,Obliquae,E,Ash,24,0,2.54,3.175,5.715,9,24,3.39,12,30.48,13.916,24.6686,120.89,231.54,115.1129126,106.5414183,19.2923,110.8271654,8,347,29.5,4.37,4.37,0,100,del52,1978.3003,0.2757,7175.554226,0.79969,1.07539,1.441,0.6202,0.430395559,1.79829,2.77092,0.388098538,3.84631,0.011084467
E. delegatensis,,n,,5,3,Obliquae,E,Ash,24,0,3.175,3.4925,3.175,6,18,2.5,9,22.86,18.3137,,132.65,,138.0603091,,18.3137,138.0603091,4,343,26.5,3.38,3.38,0,100,del53,2828.5099,0.21281,13291.24524,0.47024,0.68305,1.201,0.5049,0.420399667,1.21023,1.84778,0.369659808,2.53083,0.007378513
E. delegatensis,,n,"SLA, SSD, SRL, bgb missing",5,4,Obliquae,E,Ash,24,0,1.905,2.2225,2.54,2,3,0.8,1,2.54,,,,,,,,,10,349,2.75,0.33,0.33,0,100,del54,26.0277,,,0,,,,,0.0073,0.0073,,,
E. delegatensis,,n,,5,5,Obliquae,E,Ash,24,0,2.54,4.7625,6.35,7,15,3,6,15.24,14.2618,,127.84,,111.5597622,,14.2618,111.5597622,13,352,13.25,3.13,3.13,0,100,del55,1884.1826,0.22417,8405.150555,0.44144,0.66561,0.706,0.3072,0.435127479,0.91638,1.35142,0.49252638,2.01703,0.005730199
E. delegatensis,,n,,6,1,Obliquae,E,Ash,24,12,2.8575,3.4925,3.81,5,16,2,9,22.86,10.2385,,86.21,,118.7623246,,10.2385,118.7623246,13,352,21.5,2.75,2.75,0,100,del61,1559.9325,0.1575,9904.333333,0.32486,0.48236,0.63,0.279,0.442857143,0.68219,1.0474,0.460530838,1.52976,0.004345909
E. delegatensis,,n,,6,2,Obliquae,E,Ash,24,12,3.175,4.445,4.445,6,27,4.1,17,43.18,11.2806,14.398,85.69,95.98,131.6442992,150.0104188,12.8393,140.827359,4,343,46,5.75,5.75,0,70,del62,1530.8889,0.20351,7522.425925,2.62958,2.83309,3.586,1.4508,0.404573341,3.76892,5.40139,0.524511283,8.23448,0.02400723
E. delegatensis,,n,,6,3,Obliquae,E,Ash,24,12,2.8575,3.175,3.81,4,10,1.9,7,17.78,,,,,,,,,6,345,21.5,2.21,2.21,0,100,del63,1192.433,0.16253,7336.694764,0,0.16253,0.534,0.1903,0.356367041,0.92544,1.11574,0.145670138,1.27827,0.00370513
E. delegatensis,,n,,6,4,Obliquae,E,Ash,24,12,3.81,4.7625,5.715,10,42,6.8,33,83.82,24.01,24.1095,200.39,238.89,119.8163581,100.923019,24.05975,110.3696885,3,342,61.5,7.61,7.61,0,40,del64,4064.6551,0.23496,17299.34925,10.0346,10.26956,4.865,1.8587,0.382055498,11.00269,13.30067,0.772108473,23.57023,0.068918801
E. delegatensis,,n,,6,5,Obliquae,E,Ash,24,12,3.81,5.08,5.715,9,14,2.3,7,17.78,10.5175,12.7228,89.71,81.26,117.2388808,156.5690377,11.62015,136.9039592,13,352,26.5,4.8,5.4,0.125,60,del65,2191.3718,0.1246,17587.25361,0.63275,0.75735,0.604,0.2506,0.414900662,1.95983,2.3814,0.318027211,3.13875,0.008916903
E. delegatensis,,n,,7,1,Obliquae,E,Ash,50,0,3.81,4.445,5.08,7,22,1.9,11,27.94,,,,,,,,,4,343,27.5,2.34,2.34,0,100,del71,765.1332,0.09249,8272.604606,0,0.09249,0.667,0.2318,0.347526237,0.86428,1.09608,0.084382527,1.18857,0.003465219
E. delegatensis,,n,,7,2,Obliquae,E,Ash,50,0,4.445,6.35,10.16,12,46,5.4,21,53.34,21.6619,23.5922,163.43,180.64,132.5454323,130.6034101,22.62705,131.5744212,13,352,53.5,6.86,7.96,0.160349854,80,del72,2313.6862,0.23743,9744.708756,4.1966,4.43403,4.08,1.6594,0.406715686,5.98137,7.98484,0.555306055,12.41887,0.035280881
